convertible_bond_code	stock_code
127014	000065
113546	603320
128079	002846
128078	002368
128076	002722
113545	603113
128075	002406
128074	002174
123031	300655
128073	002615
128072	002842
123030	300040
128071	002228
123029	300677
113543	603833
113542	603898
113541	603165
128070	002877
128069	002907
123028	300437
113027	601020
123027	300487
113537	603348
113536	603578
113535	603278
128066	002811
128065	002497
110058	600105
127013	000810
113026	601985
113025	601677
113534	603876
128064	002538
113024	601611
128063	002631
128062	002370
113532	603817
110057	600420
123025	300567
113530	603081
127012	001965
123024	300700
123023	300335
110056	600487
123022	300088
110055	600197
110053	600919
127011	000887
128057	002649
110052	600996
113021	601998
113528	603897
128056	002863
110051	600522
128053	002551
113527	603518
113526	603797
128052	002783
123018	300381
113525	603055
128051	002741
113524	603677
128050	002865
110048	600483
128049	002787
110047	600567
127008	000070
128048	002839
113519	603569
128046	002258
128044	002717
123015	300297
113516	603323
128042	002823
123014	300407
123013	300539
123012	300057
123011	300473
128041	002446
110045	600398
123010	300422
127007	000665
110044	600831
128040	002758
128039	002224
113509	603179
113508	603225
128037	002542
127006	000623
127005	000783
128036	002548
113505	603618
113504	603989
128035	002008
110043	600908
128034	002807
123007	300409
128033	002658
113017	601929
128032	002472
128030	002100
128029	002078
110041	600863
128028	002460
123004	300197
128026	002772
128025	002728
128023	002284
128022	002707
128021	002562
123002	300388
110038	600566
113502	603822
128018	002527
113016	601127
128017	002597
113014	601222
113013	601211
128015	002279
127004	000700
128014	002753
113012	601311
113011	601818
128013	002325
127003	000861
128010	002245
113009	601238
110034	600998
110033	600755
110031	600271
124001	-
110806	-
110802	-
110801	-
110800	-
123100	-
128137	-
127024	-
128136	-
113041	-
123075	-
113607	-
110076	-
113606	-
123074	-
123073	-
127023	-
113605	-
113040	-
123072	-
123071	-
128135	-
123070	-
127022	-
123069	-
123068	-
110075	-
113604	-
128134	-
113603	-
128133	-
123067	-
123066	-
128132	-
128131	-
123065	-
123064	-
128130	-
128129	-
113602	603228
113039	601619
113601	603716
128128	002408
128127	002775
110074	600577
110072	600297
113600	603978
127021	000070
128126	002460
113599	603871
113598	603966
113038	601012
128125	002949
113597	603912
128124	002022
123063	300021
113596	603887
128123	002749
123062	300554
110073	600061
128122	002436
113037	601860
123061	300424
123060	300416
113595	603007
113594	603516
127020	000060
113593	603131
128121	002930
128120	002921
127019	000688
123059	300231
123058	300207
128119	002726
110071	600929
113592	603345
113036	601789
128118	002861
128117	002838
123057	300586
113591	603687
128116	002961
127018	000761
113590	603187
123056	300511
113589	603608
128114	002157
123055	300138
113588	603108
128113	002832
128112	002241
128111	002738
123054	300608
113585	603896
123053	300031
123052	300665
113584	603708
128109	002171
123051	300532
127017	000789
113583	603939
128108	002382
113582	603678
113580	603665
113579	603707
128107	002061
113578	603030
113573	603602
123050	300303
113577	603890
123049	300190
110070	600231
128106	002840
123048	300527
113576	603557
113034	601678
128105	002616
127016	000726
113575	603377
110069	600323
113033	601366
113574	603679
128103	002360
110068	600388
123047	300631
123046	300587
128101	002036
128100	002503
123045	300652
123044	300427
113572	603663
110067	600909
113570	603331
113569	603660
113568	603667
123043	300645
113567	603617
110066	600711
113566	603499
113564	603136
113565	603336
128097	002614
128096	002701
128095	002812
128094	002860
113563	603368
123042	300619
128093	002455
127015	000876
113561	603089
128091	002873
128090	002510
123039	300577
123038	300545
113030	601515
113559	603901
110065	600985
110064	600939
113557	603098
128087	002083
128085	002002
113029	601615
110063	600567
128083	002376
128082	002806
110062	600498
128081	002203
113550	603035
113549	603861
123035	300296
110061	600674
123034	300265
123033	300748
113548	603688
110060	600326
110059	600000
127014	000065
113546	603320
128079	002846
128078	002368
128076	002722
113545	603113
128075	002406
128074	002174
123031	300655
128073	002615
128072	002842
123030	300040
128071	002228
123029	300677
113543	603833
113542	603898
113541	603165
128070	002877
128069	002907
123028	300437
113027	601020
123027	300487
113537	603348
113536	603578
113535	603278
128066	002811
128065	002497
110058	600105
127013	000810
113026	601985
113025	601677
113534	603876
128064	002538
113024	601611
128063	002631
128062	002370
113532	603817
110057	600420
123025	300567
113530	603081
127012	001965
123024	300700
123023	300335
110056	600487
123022	300088
110055	600197
110053	600919
127011	000887
128057	002649
110052	600996
113021	601998
113528	603897
128056	002863
110051	600522
128053	002551
113527	603518
113526	603797
128052	002783
123018	300381
113525	603055
128051	002741
113524	603677
128050	002865
110048	600483
128049	002787
110047	600567
127008	000070
128048	002839
113519	603569
128046	002258
128044	002717
123015	300297
113516	603323
128042	002823
123014	300407
123013	300539
123012	300057
123011	300473
128041	002446
110045	600398
123010	300422
127007	000665
110044	600831
128040	002758
128039	002224
113509	603179
113508	603225
128037	002542
127006	000623
127005	000783
128036	002548
113505	603618
113504	603989
128035	002008
110043	600908
128034	002807
123007	300409
128033	002658
113017	601929
128032	002472
128030	002100
128029	002078
110041	600863
128028	002460
123004	300197
128026	002772
128025	002728
128023	002284
128022	002707
128021	002562
123002	300388
110038	600566
113502	603822
128018	002527
113016	601127
128017	002597
113014	601222
113013	601211
128015	002279
127004	000700
128014	002753
113012	601311
113011	601818
128013	002325
127003	000861
128010	002245
113009	601238
110034	600998
110033	600755
110031	600271
124001	-
110806	-
110802	-
110801	-
110800	-
123099	-
128137	-
127024	-
128136	-
113041	-
123075	-
113607	-
110076	-
113606	-
123074	-
123073	-
127023	-
113605	-
113040	-
123072	-
123071	-
128135	-
123070	-
127022	-
123069	-
123068	-
110075	-
113604	-
128134	-
113603	-
128133	-
123067	-
123066	-
128132	-
128131	-
123065	-
123064	-
128130	-
128129	-
113602	603228
113039	601619
113601	603716
128128	002408
128127	002775
110074	600577
110072	600297
113600	603978
127021	000070
128126	002460
113599	603871
113598	603966
113038	601012
128125	002949
113597	603912
128124	002022
123063	300021
113596	603887
128123	002749
123062	300554
110073	600061
128122	002436
113037	601860
123061	300424
123060	300416
113595	603007
113594	603516
127020	000060
113593	603131
128121	002930
128120	002921
127019	000688
123059	300231
123058	300207
128119	002726
110071	600929
113592	603345
113036	601789
128118	002861
128117	002838
123057	300586
113591	603687
128116	002961
127018	000761
113590	603187
123056	300511
113589	603608
128114	002157
123055	300138
113588	603108
128113	002832
128112	002241
128111	002738
123054	300608
113585	603896
123053	300031
123052	300665
113584	603708
128109	002171
123051	300532
127017	000789
113583	603939
128108	002382
113582	603678
113580	603665
113579	603707
128107	002061
113578	603030
113573	603602
123050	300303
113577	603890
123049	300190
110070	600231
128106	002840
123048	300527
113576	603557
113034	601678
128105	002616
127016	000726
113575	603377
110069	600323
113033	601366
113574	603679
128103	002360
110068	600388
123047	300631
123046	300587
128101	002036
128100	002503
123045	300652
123044	300427
113572	603663
110067	600909
113570	603331
113569	603660
113568	603667
123043	300645
113567	603617
110066	600711
113566	603499
113564	603136
113565	603336
128097	002614
128096	002701
128095	002812
128094	002860
113563	603368
123042	300619
128093	002455
127015	000876
113561	603089
128091	002873
128090	002510
123039	300577
123038	300545
113030	601515
113559	603901
110065	600985
110064	600939
113557	603098
128087	002083
128085	002002
113029	601615
110063	600567
128083	002376
128082	002806
110062	600498
128081	002203
113550	603035
113549	603861
123035	300296
110061	600674
123034	300265
123033	300748
113548	603688
110060	600326
110059	600000
127014	000065
113546	603320
128079	002846
128078	002368
128076	002722
113545	603113
128075	002406
128074	002174
123031	300655
128073	002615
128072	002842
123030	300040
128071	002228
123029	300677
113543	603833
113542	603898
113541	603165
128070	002877
128069	002907
123028	300437
113027	601020
123027	300487
113537	603348
113536	603578
113535	603278
128066	002811
128065	002497
110058	600105
127013	000810
113026	601985
113025	601677
113534	603876
128064	002538
113024	601611
128063	002631
128062	002370
113532	603817
110057	600420
123025	300567
113530	603081
127012	001965
123024	300700
123023	300335
110056	600487
123022	300088
110055	600197
110053	600919
127011	000887
128057	002649
110052	600996
113021	601998
113528	603897
128056	002863
110051	600522
128053	002551
113527	603518
113526	603797
128052	002783
123018	300381
113525	603055
128051	002741
113524	603677
128050	002865
110048	600483
128049	002787
110047	600567
127008	000070
128048	002839
113519	603569
128046	002258
128044	002717
123015	300297
113516	603323
128042	002823
123014	300407
123013	300539
123012	300057
123011	300473
128041	002446
110045	600398
123010	300422
127007	000665
110044	600831
128040	002758
128039	002224
113509	603179
113508	603225
128037	002542
127006	000623
127005	000783
128036	002548
113505	603618
113504	603989
128035	002008
110043	600908
128034	002807
123007	300409
128033	002658
113017	601929
128032	002472
128030	002100
128029	002078
110041	600863
128028	002460
123004	300197
128026	002772
128025	002728
128023	002284
128022	002707
128021	002562
123002	300388
110038	600566
113502	603822
128018	002527
113016	601127
128017	002597
113014	601222
113013	601211
128015	002279
127004	000700
128014	002753
113012	601311
113011	601818
128013	002325
127003	000861
128010	002245
113009	601238
110034	600998
110033	600755
110031	600271
124001	-
110806	-
110802	-
110801	-
110800	-
123098	-
128137	-
127024	-
128136	-
113041	-
123075	-
113607	-
110076	-
113606	-
123074	-
123073	-
127023	-
113605	-
113040	-
123072	-
123071	-
128135	-
123070	-
127022	-
123069	-
123068	-
110075	-
113604	-
128134	-
113603	-
128133	-
123067	-
123066	-
128132	-
128131	-
123065	-
123064	-
128130	-
128129	-
113602	603228
113039	601619
113601	603716
128128	002408
128127	002775
110074	600577
110072	600297
113600	603978
127021	000070
128126	002460
113599	603871
113598	603966
113038	601012
128125	002949
113597	603912
128124	002022
123063	300021
113596	603887
128123	002749
123062	300554
110073	600061
128122	002436
113037	601860
123061	300424
123060	300416
113595	603007
113594	603516
127020	000060
113593	603131
128121	002930
128120	002921
127019	000688
123059	300231
123058	300207
128119	002726
110071	600929
113592	603345
113036	601789
128118	002861
128117	002838
123057	300586
113591	603687
128116	002961
127018	000761
113590	603187
123056	300511
113589	603608
128114	002157
123055	300138
113588	603108
128113	002832
128112	002241
128111	002738
123054	300608
113585	603896
123053	300031
123052	300665
113584	603708
128109	002171
123051	300532
127017	000789
113583	603939
128108	002382
113582	603678
113580	603665
113579	603707
128107	002061
113578	603030
113573	603602
123050	300303
113577	603890
123049	300190
110070	600231
128106	002840
123048	300527
113576	603557
113034	601678
128105	002616
127016	000726
113575	603377
110069	600323
113033	601366
113574	603679
128103	002360
110068	600388
123047	300631
123046	300587
128101	002036
128100	002503
123045	300652
123044	300427
113572	603663
110067	600909
113570	603331
113569	603660
113568	603667
123043	300645
113567	603617
110066	600711
113566	603499
113564	603136
113565	603336
128097	002614
128096	002701
128095	002812
128094	002860
113563	603368
123042	300619
128093	002455
127015	000876
113561	603089
128091	002873
128090	002510
123039	300577
123038	300545
113030	601515
113559	603901
128066	002811
128065	002497
110058	600105
127013	000810
113026	601985
113025	601677
113534	603876
128064	002538
113024	601611
128063	002631
128062	002370
113532	603817
110057	600420
123025	300567
113530	603081
127012	001965
123024	300700
123023	300335
110056	600487
123022	300088
110055	600197
110053	600919
127011	000887
128057	002649
110052	600996
113021	601998
113528	603897
128056	002863
110051	600522
128053	002551
113527	603518
113526	603797
128052	002783
123018	300381
113525	603055
128051	002741
113524	603677
128050	002865
110048	600483
128049	002787
110047	600567
123017	300618
127008	000070
128048	002839
113519	603569
128046	002258
128044	002717
123015	300297
113516	603323
128042	002823
123014	300407
123013	300539
123012	300057
123011	300473
128041	002446
110045	600398
123010	300422
127007	000665
110044	600831
128040	002758
128039	002224
113509	603179
113508	603225
128037	002542
127006	000623
127005	000783
128036	002548
113505	603618
113504	603989
128035	002008
110043	600908
128034	002807
123007	300409
128033	002658
113017	601929
128032	002472
128030	002100
128029	002078
110041	600863
128028	002460
123004	300197
128026	002772
128025	002728
128023	002284
128022	002707
128021	002562
123002	300388
110038	600566
113502	603822
128018	002527
113016	601127
128017	002597
113014	601222
113013	601211
128015	002279
127004	000700
128014	002753
113012	601311
113011	601818
128013	002325
127003	000861
128010	002245
113009	601238
110034	600998
110033	600755
110031	600271
124001	-
110806	-
110802	-
110801	-
110800	-
